ID;coordinates;layer;type;mongo_dest_id;name;mongo_org_id;source_layer;target_layer
54b954b955474a0e08bd2f51;[[2.4013757, 48.8518166], [2.406023045704519, 48.852667989061985]];crosslayer;edge;5453b63555474a336231a330;54b954b955474a0e08bd2f51;5453b63455474a33623174b5;metro;road
54b954b955474a0e08bd2f52;[[2.4013757, 48.8518166], [2.3964593126350318, 48.85099680216025]];crosslayer;edge;5453b63455474a3362317820;54b954b955474a0e08bd2f52;5453b63455474a33623174b5;metro;road
54b954b955474a0e08bd2f53;[[2.4013757, 48.8518166], [2.3992775085616045, 48.84894247445676]];crosslayer;edge;5453b63555474a336231aae1;54b954b955474a0e08bd2f53;5453b63455474a33623174b5;metro;road
54b954b955474a0e08bd2f54;[[2.4013757, 48.8518166], [2.398325983100447, 48.85132097658573]];crosslayer;edge;5453b63455474a336231858e;54b954b955474a0e08bd2f54;5453b63455474a33623174b5;metro;road
54b954b955474a0e08bd2f55;[[2.2821427, 48.838745], [2.2783440034093196, 48.83844854243807]];crosslayer;edge;5453b63555474a336231a647;54b954b955474a0e08bd2f55;5453b63455474a3362318ea9;metro;road
54b954b955474a0e08bd2f56;[[2.2821427, 48.838745], [2.278701007103434, 48.83689028233885]];crosslayer;edge;5453b63455474a33623176e9;54b954b955474a0e08bd2f56;5453b63455474a3362318ea9;metro;road
54b954b955474a0e08bd2f57;[[2.3549579, 48.8460116], [2.3505462853430323, 48.84798637415526]];crosslayer;edge;5453b63455474a33623174f0;54b954b955474a0e08bd2f57;5453b63455474a3362318ea3;metro;road
54b954b955474a0e08bd2f58;[[2.3549579, 48.8460116], [2.35486985028768, 48.84382774392329]];crosslayer;edge;5453b63455474a33623178e4;54b954b955474a0e08bd2f58;5453b63455474a3362318ea3;metro;road
54b954b955474a0e08bd2f59;[[2.3549579, 48.8460116], [2.3516140162244477, 48.84650372661849]];crosslayer;edge;5453b63555474a336231a130;54b954b955474a0e08bd2f59;5453b63455474a3362318ea3;metro;road
54b954b955474a0e08bd2f5a;[[2.3549579, 48.8460116], [2.3565568587049097, 48.84935889281891]];crosslayer;edge;5453b63455474a33623188e7;54b954b955474a0e08bd2f5a;5453b63455474a3362318ea3;metro;road
54b954b955474a0e08bd2f5b;[[2.3686313, 48.8531361], [2.3694957675690724, 48.85205389264156]];crosslayer;edge;5453b63555474a336231a981;54b954b955474a0e08bd2f5b;5453b63455474a3362318bd0;metro;road
54b954b955474a0e08bd2f5c;[[2.3686313, 48.8531361], [2.3705160129002207, 48.8501661244985]];crosslayer;edge;5453b63455474a33623173e2;54b954b955474a0e08bd2f5c;5453b63455474a3362318bd0;metro;road
54b954b955474a0e08bd2f5d;[[2.3686313, 48.8531361], [2.3685437854383142, 48.855691247430656]];crosslayer;edge;5453b63455474a3362319321;54b954b955474a0e08bd2f5d;5453b63455474a3362318bd0;metro;road
54b954b955474a0e08bd2f5e;[[2.3686313, 48.8531361], [2.368134759125274, 48.852815659906284]];crosslayer;edge;5453b63555474a336231a55a;54b954b955474a0e08bd2f5e;5453b63455474a3362318bd0;metro;road
54b954b955474a0e08bd2f5f;[[2.3686313, 48.8531361], [2.3690881945064817, 48.85322090289397]];crosslayer;edge;5453b63555474a336231ade0;54b954b955474a0e08bd2f5f;5453b63455474a3362318bd0;metro;road
